DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000259,1,12,Casa,UMA CASA BAIRRO ALORADA NA CIDADE DE CUIABÁ,"35000,00",ALICE SOUZA GARCIA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,1,13,Terreno,"50% DOS LOTES 01, 02, E 03 DA QUADRA 82 COM 795,22","18000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,2,14,Terra nua,"AREA DE TERRAS COM 178,1375 HASM EM ARIPUANÃ","40000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,3,13,Terreno,430 M2 DE UMA BARRACÃO NO LOTEAMENTO BAIRRO CIDADE ALTA,"70000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,4,32,Quotas ou quinhões de capital,100% DO CAPITAL SOCIAL DA EMPRESA RUY ALMEIDA SILVA ME,"15000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,5,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VEICULO CROSSFOX ANO 2008/2009,"34146,22",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,6,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VEICULO CROSSFOX ANO 2008,"34146,22",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,7,13,Terreno,"LOTE N. 03, QDRA. 61 EM BARRA DO GARÇAS","15000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,8,13,Terreno,"LOTE N. 03, QDRA. 01 EM ARIPUANÃ","25000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,9,14,Terra nua,"AREA DE TERRAS COM 146,1375 HAS GLEBA ARIPUANÃ","30000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,10,13,Terreno,"LOTE N. 04, QDRA. 61 EM BARRA DO GARÇAS","2000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000262,11,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",TOYOTA HILUX ANO 2009,"78000,00",RUY ALMEIDA DA SILVA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,1,13,Terreno,"LOTE RURAL COM 200 HA LOCALIZADO NO PROJETO CANARANA II, MATRICULA 1599","1000000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,2,13,Terreno,"UM LOTE RURAL COM 200 HA, LOCALIZADO NO PROJETO II, LOTE 36","1000000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,3,13,Terreno,"LOTE RURAL COM 186,6 HA LOCALIZADO NO PROJETO CANARANA II, LOTE 30","930000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,4,13,Terreno,"UM LOTE RURAL COM 100 HA, LOCALIZADO NO PROJETO CANARAN II, LOTE 28A","500000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,5,19,Outros bens imóveis,CHACARA COM 10 HA LOCALIZADA NO PERIMETRO URBANO DE CANARANA,"200000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,6,19,Outros bens imóveis,"TRES CHACARAS COM 17.280 M² CADA UMA, LOCALIZADAS NO PROJETO CANARANA I","90000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,7,13,Terreno,"UM LOTE RURAL COM 200 HS LOCALIZADO NO PROJETO CANARANA II, LOTE 16","1000000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,8,13,Terreno,"UM LOTE RURAL COM 200 HA LOCALIZADO NO PROJETO CANARANA II, LOTE 4","1000000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,9,13,Terreno,"UM LOTE RURAL COM 200 HA LOCALIZADO NO PROJETO CANARANA, MATR 3801","1000000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,10,13,Terreno,"UM LOTE URBANO COM 800M² LOCADO SOB LOTE 1, QD 68, PROJETO CANARANA I","150000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,11,13,Terreno,"UM LOTE URBANO COM 130 M² LOCADO SOB LOTE 10-A, QD 69, CANARANA I","100000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,12,13,Terreno,"LOTE URBANO COM 670M² LOCADO SOB LOTE 10, QD 69, CANARANA I","300000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,13,13,Terreno,"TRES LOTES URBANOS MEDINDO 2.800 M² LOCADOS SOB N 7, 8 E 9, DA QD 69","1100000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,14,19,Outros bens imóveis,"UM PREDIO COM APROX. 2.000 M² CONSTRUÍDO NOS LOTES 7, 8 E 9","1500000,00",NELDO EGON WEIRICH
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000271,15,13,Terreno,"UMA AREA RURAL COM 200 HA LOCADO SOB LOTE 42, PROJETO CANARANA II","1000000,00",NELDO EGON WEIRICH
